nodeid,nodetype,x,y,z,S11,S22,S33,S12,S13,S12,mises
130,1,-0.133090,0.150809,0.105093,-58588.471354,-133969.413086,23573.325765,-64545.970785,11801.851461,-15948.125468,187814.328125
131,1,-0.117413,0.163311,0.105093,-75856.699707,-257338.246094,21211.568726,-159908.822266,13397.222656,16858.005829,689547.062500
132,1,-0.100569,0.174190,0.105093,-305787.705078,-532289.415365,-9613.691406,-437919.328125,41269.377543,59942.051270,689547.062500
133,1,-0.082725,0.183338,0.105093,-703031.347656,-943126.031250,-115200.524521,-402549.324219,22634.925568,-4152.292969,1347616.750000
134,1,-0.064060,0.190664,0.105093,-934214.385417,-887389.604167,-55627.200846,-277501.789062,-23569.584880,-42162.303385,1141825.875000
135,1,-0.044757,0.196095,0.105093,-883796.197917,-739804.041667,-3140.346965,-97486.357747,-22924.639648,-57221.991089,823310.812500
136,1,-0.025010,0.199577,0.105093,-576965.406250,-749217.312500,42057.942395,68411.541016,-30944.963867,-81202.182349,714032.437500
137,1,-0.005015,0.201075,0.105093,-412383.562500,-834346.812500,96553.129496,45345.331543,-14995.024495,-81795.096029,899874.625000
138,1,0.015031,0.200575,0.105093,-385306.393229,-791579.604167,112961.554688,-9386.899414,9411.956746,-76253.685547,899874.625000
139,1,0.034927,0.198082,0.105093,-651915.273438,-823810.156250,46876.679199,-16899.202637,56858.386719,-32521.562500,831781.875000
140,1,0.054476,0.193620,0.105093,-801776.656250,-736834.338542,-24346.004883,138162.921224,47231.201986,-44278.299154,760322.875000
141,1,0.073484,0.187234,0.105093,-748160.781250,-859604.648438,-37614.685913,360559.758789,11787.338867,-66426.773438,1037007.500000
142,1,0.091761,0.178987,0.105093,-412841.865234,-491211.179688,-2211.994873,455993.980469,-20483.800018,-21924.374756,670785.000000
143,1,0.109127,0.168961,0.105093,-171378.567708,-269514.289062,12473.919922,265476.729167,-42888.180664,2142.849121,469510.343750
144,1,0.125407,0.157256,0.105093,-19130.132812,-128426.629395,38493.351440,77005.967285,-46164.860840,8859.781944,125277.617188
145,1,0.140442,0.143988,0.105093,-56533.582275,-70091.923462,23199.780762,56382.953125,-12266.306122,2136.136810,308991.125000
146,1,0.154081,0.129289,0.105093,-26244.408529,-26251.457682,13029.435791,27172.145996,-10256.101359,995.013672,137833.343750
147,1,0.166188,0.113305,0.105093,21768.166443,-53786.633789,40916.547852,5999.329915,-8411.930786,-5237.431763,278497.031250
148,1,0.176644,0.096195,0.105093,7572.408936,-42682.426514,33582.517395,-2116.366211,-6604.297340,-18194.216873,194668.718750
149,1,0.185344,0.078129,0.105093,-38706.662760,7967.415039,20891.179403,5053.889811,-18269.340373,-13786.752380,229856.750000
150,1,0.192202,0.059286,0.105093,-57579.254150,-29843.027588,28159.705193,66273.642700,-4974.726349,-8508.631805,226763.765625
151,1,0.197150,0.039855,0.105093,-46167.865560,-127761.019206,13061.465647,110286.884766,901.531169,-12641.094554,305542.031250
152,1,0.200138,0.020027,0.105093,29764.957194,-320255.244792,-13505.877360,94749.955729,6795.763509,-15091.903483,363385.687500
153,1,0.200138,0.020027,0.000000,17839.546844,-378206.183594,-20486.002930,74092.305664,5577.016418,1007.664520,405359.531250
154,1,0.197150,0.039855,0.000000,-2970.497803,-227899.291667,19161.931112,115742.692708,8194.456421,25246.374837,309843.937500
155,1,0.192202,0.059286,0.000000,-42511.757324,-44294.276367,33188.718262,71303.279175,14953.324829,30008.443115,253694.562500
156,1,0.185344,0.078129,0.000000,-47770.924438,-48098.231812,32914.380005,38827.188751,9664.977707,7457.596710,257593.453125
157,1,0.176644,0.096195,0.000000,-22071.169678,-63096.911621,10264.145508,5035.002726,13160.282918,5981.450439,113103.289062
158,1,0.166188,0.113305,0.000000,33151.533997,-34006.099854,38010.259277,1630.627441,12508.276001,8536.501297,227800.968750
159,1,0.154081,0.129289,0.000000,-7777.446289,-37390.987061,28775.303711,31508.598633,11562.302734,-1549.069771,251845.062500
160,1,0.140442,0.143988,0.000000,-41289.844401,-48440.308919,18599.497314,38050.448568,19564.389994,6327.875488,116566.132812
161,1,0.125407,0.157256,0.000000,-8730.536743,-118434.686849,39870.465983,58634.697428,8670.051575,6049.414510,325449.218750
162,1,0.109127,0.168961,0.000000,-91112.779582,-259537.098958,48587.705078,204609.862630,23557.693197,-10390.166646,630985.875000
163,1,0.091761,0.178987,0.000000,-314409.893229,-415869.080729,3320.355428,411880.088542,49906.573405,-40600.771159,630985.875000
164,1,0.073484,0.187234,0.000000,-764925.343750,-970009.421875,-83386.083992,370912.855469,17591.921387,-3461.537109,1016337.875000
165,1,0.054476,0.193620,0.000000,-879108.270833,-809031.947917,-21076.829427,158444.753743,-36041.914388,38191.071177,1016337.875000
166,1,0.034927,0.198082,0.000000,-718407.070312,-750136.492188,45410.692383,-12346.244019,-44065.097900,74799.896385,858913.125000
167,1,0.015031,0.200575,0.000000,-501336.104167,-820405.614583,102974.705078,-58219.445964,-41639.957357,78366.105021,858913.125000
168,1,-0.005015,0.201075,0.000000,-372697.078125,-844080.187500,109705.025635,37992.963053,-7703.282145,69451.857096,802288.062500
169,1,-0.025010,0.199577,0.000000,-523977.185547,-768424.171875,56472.150146,80287.844604,17092.029541,45247.629761,831803.187500
170,1,-0.044757,0.196095,0.000000,-696809.093750,-684134.390625,34279.830078,-23350.671021,30308.855103,64794.367676,733600.625000
171,1,-0.064060,0.190664,0.000000,-910671.265625,-886112.750000,-3273.366211,-261324.027344,58376.824707,64966.788086,1281903.375000
172,1,-0.082725,0.183338,0.000000,-746333.458333,-897073.473958,-57636.960286,-437810.174479,1929.791097,51331.451172,776809.937500
173,1,-0.100569,0.174190,0.000000,-344617.333984,-599427.890625,5507.083618,-469896.207031,-30279.461790,28901.056763,835695.375000
174,1,-0.117413,0.163311,0.000000,-142050.907227,-324984.158203,46250.836182,-232974.361328,-41201.200073,-17752.210632,541534.125000
175,1,-0.133090,0.150809,0.000000,-71395.847005,-168162.827474,43011.701172,-86138.173014,-37258.295247,-16384.765340,295919.718750
176,1,-0.147444,0.136808,0.000000,-29365.261963,-92533.075928,23833.083496,-71530.236572,-14956.005127,-1963.848022,348318.843750
177,1,-0.160334,0.121448,0.000000,-8213.268066,-69913.112061,34998.450195,-64575.634056,-19123.416748,5192.001770,276846.781250
178,1,-0.171629,0.104880,0.000000,2322.745117,-53281.767090,28184.730469,-20290.894615,-8013.449219,12695.225586,290770.468750
179,1,-0.181219,0.087270,0.000000,-7262.882690,35709.828125,41555.626953,5298.458984,-18829.466553,10318.434326,127061.195312
180,1,-0.189008,0.068793,0.000000,-46446.865723,-3669.277181,44588.076335,-23374.597656,-9515.969666,13564.775798,144746.250000
181,1,-0.194918,0.049632,0.000000,-55547.886816,-139202.902246,26478.260937,-121785.059375,345.842514,10275.122766,410854.593750
182,1,-0.198891,0.029978,0.000000,-158.352865,-259928.196615,-1767.464193,-131769.100260,68.922262,20150.983805,458486.937500
183,1,-0.200888,0.010026,0.000000,16703.569661,-407483.958333,-25739.017131,-83905.418050,-3650.028463,17583.198649,552735.812500
184,1,-0.200888,-0.010026,0.000000,45453.418274,-421951.539062,-9314.866119,85739.560120,-9340.887390,4483.819294,453673.562500
185,1,-0.198891,-0.029978,0.000000,-16476.741781,-311150.263021,-3239.499186,124516.561198,-9866.636281,-13334.001187,424114.218750
186,1,-0.194918,-0.049632,0.000000,-42526.056836,-176391.561133,20628.923346,115323.655859,-2963.641754,-11284.044617,317657.906250
187,1,-0.189008,-0.068793,0.000000,-54657.139648,-44265.982910,30729.460409,30422.823242,-8846.869527,-17387.085124,129887.632812
188,1,-0.181219,-0.087270,0.000000,-40688.686401,-76078.677734,34159.052940,31145.404053,-6097.631058,1143.216255,300822.187500
189,1,-0.171629,-0.104880,0.000000,4822.284959,-71734.264099,43130.599121,24594.205994,-14184.249649,4808.009674,73051.156250
190,1,-0.160334,-0.121448,0.000000,-38147.475647,-150822.014679,12824.139038,71191.815125,-10269.806036,4421.962866,314213.218750
191,1,-0.147444,-0.136808,0.000000,-66056.268539,-133811.637024,34054.543945,106132.024902,-21163.240372,2773.435364,158746.906250
192,1,-0.133090,-0.150809,0.000000,-75018.636719,-200720.454427,37407.693359,114153.276042,-26923.701288,-14306.657878,418943.750000
193,1,-0.117413,-0.163311,0.000000,-155113.483398,-348987.101562,16659.784668,263999.558594,-14939.399780,12275.714355,585715.312500
194,1,-0.100569,-0.174190,0.000000,-485400.320312,-721877.322917,-83619.778585,615510.609375,30104.655924,23578.830068,832360.375000
195,1,-0.082725,-0.183338,0.000000,-541089.959717,-1080219.464844,-365540.039062,413944.815674,23106.677162,-115340.085938,1011217.000000
196,1,-0.064060,-0.190664,0.000000,-116537.363932,-200110.248698,-81215.860677,2710.043457,22.600586,-64344.524740,160686.968750
197,1,-0.044757,-0.196095,0.000000,-168542.005859,-210661.901367,-72133.211426,-119590.046875,-12267.702209,-38228.440369,288572.625000
198,1,-0.025010,-0.199577,0.000000,-159383.559896,-392531.192708,-105463.567790,-111985.014323,-18622.006917,-54491.391113,276626.281250
199,1,-0.005015,-0.201075,0.000000,-162817.225423,-509022.046875,-172519.776693,-57527.896484,-22422.950358,-82417.609212,482471.187500
200,1,0.015031,-0.200575,0.000000,-222977.158203,-558197.570312,-234352.417969,87148.212891,8870.115967,-111268.777344,456568.718750
201,1,0.034927,-0.198082,0.000000,-207361.707031,-373913.570312,-174382.585938,126189.751953,20601.253906,-91538.835938,346570.250000
202,1,0.054476,-0.193620,0.000000,-177391.505208,-255207.020833,-88279.932373,72770.537109,15041.242330,-52588.000000,253888.890625
203,1,0.073484,-0.187234,0.000000,-419256.712500,-848233.078125,-292183.603174,-294964.589648,-16088.620081,-80441.428125,535030.312500
204,1,0.091761,-0.178987,0.000000,-657035.783203,-668646.557292,-191203.713542,-741960.026042,-39841.383626,-3959.776693,1009390.687500
205,1,0.109127,-0.168961,0.000000,-169672.022461,-351668.556641,7093.468750,-304284.615234,14775.718140,17973.058929,507250.968750
206,1,0.125407,-0.157256,0.000000,-47994.081787,-200725.014648,36211.401855,-127172.189941,22234.885010,2568.808014,178416.046875
207,1,0.140442,-0.143988,0.000000,-50576.929443,-93298.528809,26556.592529,-77261.038574,21562.619873,1699.043823,116293.289062
208,1,0.154081,-0.129289,0.000000,-5706.198079,-50592.883545,22616.928874,-49015.249023,25755.833008,1817.810252,99864.093750
209,1,0.166188,-0.113305,0.000000,-1367.766113,-98492.521240,23636.839355,-20622.532227,7847.309326,764.123482,117173.554688
